date,TCB_code,TCB_high,TCB_low,TCB_open,TCB_close,TCB_adjust,TCB_volume_match,TCB_value_match
2023-10-24,TCB,31.8,31.05,31.35,31.35,15.2,2173100.0,68245000000.0
2023-10-23,TCB,31.5,30.5,31.1,30.9,14.98,2788400.0,85796000000.0
2023-10-20,TCB,31.4,30.55,30.7,31.1,15.08,2434100.0,75155000000.0
2023-10-19,TCB,31.4,30.65,31.25,30.65,14.86,2785000.0,86300000000.0
2023-10-18,TCB,31.8,31.0,31.75,31.25,15.15,4719900.0,148514000000.0
2023-10-17,TCB,32.2,31.75,31.95,31.75,15.4,1820000.0,58207000000.0
2023-10-16,TCB,32.3,31.8,32.05,31.8,15.42,2476400.0,79117000000.0
2023-10-13,TCB,32.45,32.0,32.4,32.2,15.61,1949500.0,62734000000.0
2023-10-12,TCB,32.85,32.5,32.7,32.5,15.76,2464200.0,80378000000.0
2023-10-11,TCB,32.65,32.3,32.65,32.6,15.81,2199600.0,71363000000.0
2023-10-10,TCB,32.65,32.25,32.3,32.5,15.76,2660000.0,86557000000.0
2023-10-09,TCB,32.15,31.9,32.1,32.1,15.57,2793700.0,89474000000.0
2023-10-06,TCB,32.25,31.6,31.75,32.05,15.54,2551600.0,81130000000.0
2023-10-05,TCB,32.6,31.8,32.35,31.8,15.42,2442600.0,78416000000.0
2023-10-04,TCB,32.65,32.0,32.25,32.25,15.64,2796000.0,90366000000.0
2023-10-03,TCB,32.9,31.9,32.9,32.5,15.76,4650100.0,150526000000.0
2023-10-02,TCB,33.65,33.0,33.65,33.15,16.07,2138300.0,71261000000.0
2023-09-29,TCB,33.7,33.1,33.5,33.65,16.32,2907800.0,97349000000.0
2023-09-28,TCB,33.9,31.85,32.6,33.65,16.32,6556500.0,213230000000.0
2023-09-27,TCB,32.6,32.25,32.25,32.6,15.81,3553500.0,115244000000.0
2023-09-26,TCB,33.0,32.4,32.8,32.4,15.71,4755900.0,155498000000.0
2023-09-25,TCB,34.2,32.75,34.0,32.8,15.9,4230500.0,141159000000.0
2023-09-22,TCB,34.25,33.4,33.95,34.0,16.49,7542500.0,254545000000.0
