date,VPB_code,VPB_high,VPB_low,VPB_open,VPB_close,VPB_adjust,VPB_volume_match,VPB_value_match
2020-08-18,VPB,21.55,21.3,21.4,21.3,6.95,1946050.0,41664000000.0
2020-08-17,VPB,21.5,21.05,21.3,21.3,6.95,2622220.0,55722000000.0
2020-08-14,VPB,21.9,21.3,21.75,21.4,6.98,3519020.0,76196000000.0
2020-08-13,VPB,21.95,21.7,21.8,21.75,7.1,2332480.0,50910000000.0
2020-08-12,VPB,21.75,21.45,21.6,21.7,7.08,3717070.0,80436000000.0
2020-08-11,VPB,21.6,21.3,21.55,21.45,7.0,2037520.0,43711000000.0
2020-08-10,VPB,21.7,21.35,21.5,21.35,6.97,3389710.0,72989000000.0
2020-08-07,VPB,21.5,21.15,21.45,21.25,6.94,2371520.0,50517000000.0
2020-08-06,VPB,21.7,21.2,21.6,21.35,6.97,3045480.0,65402000000.0
2020-08-05,VPB,21.5,20.9,21.1,21.5,7.02,3364040.0,71565000000.0
2020-08-04,VPB,21.6,20.95,21.2,21.1,6.89,3447430.0,73154000000.0
2020-08-03,VPB,20.95,20.1,20.2,20.95,6.84,2830540.0,58552000000.0
2020-07-31,VPB,20.45,19.7,19.9,20.2,6.59,2482510.0,50120000000.0
2020-07-30,VPB,20.7,20.0,20.2,20.3,6.63,2303200.0,46670000000.0
2020-07-29,VPB,20.25,19.4,20.05,19.95,6.51,3449970.0,68286000000.0
2020-07-28,VPB,20.7,19.75,20.2,20.7,6.76,4735520.0,95611000000.0
2020-07-27,VPB,20.95,19.75,20.0,19.75,6.45,6466340.0,130438000000.0
2020-07-24,VPB,22.4,20.95,22.35,21.2,6.92,6808310.0,148422000000.0
2020-07-23,VPB,22.5,22.1,22.4,22.5,7.34,2381770.0,53085000000.0
2020-07-22,VPB,22.9,22.35,22.8,22.45,7.33,2218260.0,50041000000.0
2020-07-21,VPB,22.85,22.5,22.7,22.75,7.42,1824020.0,41367000000.0
2020-07-20,VPB,23.3,22.7,22.7,22.7,7.41,2940660.0,67496000000.0
2020-07-17,VPB,23.2,22.45,22.5,23.05,7.52,5084760.0,116242000000.0
2020-07-16,VPB,22.6,22.4,22.5,22.6,7.38,1943770.0,43793000000.0
2020-07-15,VPB,22.8,22.5,22.55,22.5,7.34,2201940.0,49826000000.0
2020-07-14,VPB,22.4,21.9,22.05,22.2,7.25,3437110.0,76139000000.0
2020-07-13,VPB,22.95,22.2,22.9,22.35,7.29,2564770.0,57929000000.0
2020-07-10,VPB,23.05,22.55,22.7,22.65,7.39,2240110.0,50923000000.0
2020-07-09,VPB,22.95,22.05,22.05,22.85,7.46,4798980.0,108152000000.0
2020-07-08,VPB,21.95,21.5,21.7,21.9,7.15,1670440.0,36346000000.0
2020-07-07,VPB,22.3,21.65,22.1,21.7,7.08,2029580.0,44642000000.0
2020-07-06,VPB,22.1,21.3,21.4,22.0,7.18,2037820.0,44300000000.0
2020-07-03,VPB,21.5,21.25,21.25,21.3,6.95,938470.0,20021000000.0
2020-07-02,VPB,21.7,21.2,21.5,21.45,7.0,1662300.0,35675000000.0
2020-07-01,VPB,21.6,20.3,20.75,21.6,7.05,2251530.0,47155000000.0
2020-06-30,VPB,21.4,20.25,21.4,20.45,6.67,2998040.0,62312000000.0
2020-06-29,VPB,21.7,20.85,21.7,21.0,6.85,4380250.0,92639000000.0
2020-06-26,VPB,22.4,21.8,22.35,22.0,7.18,1451880.0,32015000000.0
2020-06-25,VPB,22.3,21.8,21.8,22.0,7.18,2302810.0,50812000000.0
2020-06-24,VPB,22.8,22.2,22.7,22.3,7.28,2522610.0,56654000000.0
2020-06-23,VPB,22.85,22.4,22.7,22.75,7.42,2034230.0,46113000000.0
2020-06-22,VPB,23.0,22.5,23.0,22.7,7.41,2070530.0,47137000000.0
2020-06-19,VPB,22.85,22.35,22.4,22.8,7.44,2450770.0,55300000000.0
2020-06-18,VPB,22.55,22.1,22.2,22.3,7.28,1526680.0,34105000000.0
2020-06-17,VPB,22.55,22.0,22.3,22.35,7.29,2786240.0,62314000000.0
2020-06-16,VPB,22.5,21.9,22.3,22.2,7.25,3095910.0,68778000000.0
2020-06-15,VPB,23.1,21.6,23.1,21.6,7.05,5816080.0,129049000000.0
2020-06-12,VPB,23.3,22.1,22.1,23.1,7.54,6053520.0,137131000000.0
2020-06-11,VPB,24.3,23.1,24.3,23.1,7.54,7897200.0,186885000000.0
2020-06-10,VPB,24.5,23.5,24.0,24.15,7.88,5601590.0,134405000000.0
2020-06-09,VPB,24.45,24.0,24.45,24.1,7.87,4906760.0,118821000000.0
2020-06-08,VPB,25.0,24.4,24.85,24.45,7.98,8059810.0,199466000000.0
2020-06-05,VPB,24.5,23.8,23.9,24.5,8.0,5507250.0,132996000000.0
2020-06-04,VPB,24.6,23.95,24.5,24.0,7.83,5967540.0,145044000000.0
2020-06-03,VPB,24.4,23.95,24.15,24.3,7.93,3922100.0,94915000000.0
2020-06-02,VPB,24.85,23.95,24.85,24.1,7.87,5977010.0,145297000000.0
2020-06-01,VPB,24.55,23.4,23.75,24.55,8.01,8948760.0,214568000000.0
2020-05-29,VPB,23.4,22.95,23.1,23.35,7.62,3696450.0,85892000000.0
2020-05-28,VPB,23.5,22.75,23.1,23.1,7.54,6455000.0,149685000000.0
2020-05-27,VPB,24.45,23.0,24.3,23.0,7.51,7919070.0,188283000000.0
2020-05-26,VPB,24.75,24.05,24.3,24.15,7.88,5056700.0,122915000000.0
2020-05-25,VPB,24.25,23.6,24.0,24.0,7.83,5174030.0,123981000000.0
2020-05-22,VPB,24.75,24.1,24.7,24.15,7.88,4840870.0,118179000000.0
2020-05-21,VPB,24.75,24.15,24.5,24.7,8.06,6693720.0,164112000000.0
2020-05-20,VPB,24.9,24.45,24.5,24.6,8.03,4798130.0,118126000000.0
2020-05-19,VPB,26.0,24.95,26.0,25.0,8.16,7262590.0,185193000000.0
2020-05-18,VPB,25.1,23.65,23.8,25.1,8.19,11745840.0,287255000000.0
2020-05-15,VPB,23.95,23.45,23.75,23.85,7.78,5062250.0,120218000000.0
2020-05-14,VPB,23.9,23.35,23.7,23.65,7.72,5055950.0,119527000000.0
2020-05-13,VPB,24.2,23.05,23.7,23.9,7.8,7305760.0,172799000000.0
2020-05-12,VPB,24.2,23.35,24.2,24.05,7.85,6834010.0,164038000000.0
2020-05-11,VPB,24.15,23.2,24.1,24.1,7.87,8508370.0,202645000000.0
2020-05-08,VPB,22.85,21.5,21.5,22.8,7.44,14723540.0,330507000000.0
2020-05-07,VPB,21.4,20.8,20.8,21.4,6.98,3376550.0,71452000000.0
2020-05-06,VPB,20.85,20.3,20.35,20.85,6.8,2650480.0,54495000000.0
2020-05-05,VPB,20.45,20.0,20.25,20.35,6.64,2323990.0,47017000000.0
2020-05-04,VPB,20.4,19.5,19.55,20.05,6.54,3624730.0,72365000000.0
2020-04-29,VPB,21.1,20.5,20.5,20.5,6.69,4670320.0,96372000000.0
2020-04-28,VPB,21.4,20.5,20.9,21.0,6.85,2453910.0,51523000000.0
2020-04-27,VPB,21.9,20.95,21.9,21.0,6.85,8928000.0,192760000000.0
2020-04-24,VPB,20.5,19.55,19.9,20.5,6.69,3362450.0,68066000000.0
2020-04-23,VPB,20.7,19.9,20.7,19.9,6.49,3739790.0,75333000000.0
2020-04-22,VPB,20.85,19.0,19.0,20.2,6.59,5779550.0,116441000000.0
2020-04-21,VPB,20.9,19.55,20.5,19.55,6.38,5653730.0,112266000000.0
2020-04-20,VPB,21.7,20.8,21.7,21.0,6.85,3363240.0,71314000000.0
2020-04-17,VPB,22.2,21.15,22.0,21.45,7.0,5009510.0,107755000000.0
2020-04-16,VPB,21.75,21.0,21.05,21.75,7.1,3778190.0,80703000000.0
2020-04-15,VPB,22.6,21.5,21.75,21.75,7.1,4994760.0,110827000000.0
2020-04-14,VPB,21.3,20.2,21.1,21.3,6.95,8107960.0,169845000000.0
2020-04-13,VPB,19.95,19.0,19.05,19.95,6.51,4611900.0,90999000000.0
2020-04-10,VPB,18.8,18.2,18.6,18.65,6.09,3400010.0,63332000000.0
2020-04-09,VPB,19.3,18.75,18.9,18.8,6.14,5977360.0,113581000000.0
2020-04-08,VPB,19.15,18.6,19.0,18.9,6.17,3738500.0,70573000000.0
2020-04-07,VPB,19.45,18.65,19.0,19.45,6.35,4306110.0,82017000000.0
2020-04-06,VPB,18.75,17.9,18.0,18.75,6.12,5262310.0,96838000000.0
2020-04-03,VPB,17.85,17.2,17.25,17.55,5.73,3237360.0,56477000000.0
2020-04-01,VPB,17.5,16.0,16.95,17.25,5.63,3686810.0,62401000000.0
2020-03-31,VPB,18.45,16.95,18.2,16.95,5.53,4500760.0,78335000000.0
2020-03-30,VPB,18.4,18.2,18.2,18.2,5.94,853200.0,15531000000.0
2020-03-27,VPB,19.65,18.8,19.6,19.55,6.38,4778990.0,91739000000.0
2020-03-26,VPB,20.15,19.4,20.0,19.6,6.4,3019180.0,59706000000.0
2020-03-25,VPB,20.5,19.7,20.4,20.3,6.63,2774030.0,55855000000.0
2020-03-24,VPB,20.15,18.6,19.6,19.5,6.36,5084480.0,99189000000.0
2020-03-23,VPB,20.2,19.6,20.2,19.6,6.4,3494590.0,68625000000.0
2020-03-20,VPB,21.35,20.6,20.8,21.05,6.87,2835760.0,59399000000.0
2020-03-19,VPB,21.0,20.1,21.0,20.8,6.79,3825580.0,78153000000.0
2020-03-18,VPB,21.85,20.9,21.5,21.55,7.03,3264600.0,70121000000.0
2020-03-17,VPB,21.7,19.5,21.5,21.5,7.02,6240600.0,124863000000.0
2020-03-16,VPB,22.25,20.95,22.2,20.95,6.84,5035890.0,107989000000.0
2020-03-13,VPB,23.05,21.0,21.0,22.5,7.34,5358840.0,116174000000.0
2020-03-12,VPB,23.3,22.55,22.6,22.55,7.36,3085820.0,69638000000.0
2020-03-11,VPB,26.4,24.2,26.0,24.2,7.9,6458650.0,159507000000.0
2020-03-10,VPB,26.5,24.55,25.6,26.0,8.49,4663130.0,120203000000.0
2020-03-09,VPB,26.25,25.6,25.6,25.6,8.36,3853010.0,99300000000.0
2020-03-06,VPB,27.7,27.2,27.4,27.5,8.98,2153680.0,59093000000.0
2020-03-05,VPB,28.45,27.2,27.5,27.85,9.09,4983410.0,139476000000.0
2020-03-04,VPB,27.3,26.55,26.95,27.15,8.86,2990200.0,80224000000.0
2020-03-03,VPB,27.6,27.1,27.5,27.15,8.86,2436430.0,66488000000.0
